Country,ISO_A3,Dwellings without basic facilities (%),Housing expenditure (%),Rooms per person,Household net adjusted disposable income ($),Household net wealth ($),Labour market insecurity (%),Employment rate (%),Long-term unemployment rate (%),Personal earnings ($),Quality of support network (%),Educational attainment (%),Student skills (Avg Score),Years in education,Air pollution (µg/m^3),Water quality (%),Stakeholder engagement for developing regulations (Avg Score),Voter turnout (%),Life expectancy (Years),Self-reported health (%),Life satisfaction (Avg Score),Feeling safe walking alone at night (%),Homicide rate,Employees working very long hours (%),Time devoted to leisure and personal care (No. of Hours),
Australia,AUS,4.26,19.40,1.66,37433.00,528768.00,3.10,73.00,1.00,55206.00,93.00,84.00,499.00,20.00,6.70,92.00,2.70,92.00,83.00,85.00,7.10,67.00,0.90,12.50,14.36,
Austria,AUT,0.80,20.80,1.60,37001.00,309637.00,2.30,72.00,1.30,53132.00,92.00,86.00,491.00,17.00,12.20,92.00,1.30,76.00,82.00,71.00,7.20,86.00,0.50,5.30,14.51,
Belgium,BEL,0.70,20.00,2.10,34884.00,447607.00,2.40,65.00,2.30,54327.00,90.00,80.00,500.00,19.00,12.80,79.00,2.00,88.00,82.10,74.00,6.80,56.00,1.10,4.30,15.52,
Canada,CAN,0.20,22.90,2.60,34421.00,478240.00,3.80,70.00,0.50,55342.00,93.00,92.00,517.00,17.00,7.10,90.00,2.90,68.00,82.10,89.00,7.00,78.00,1.20,3.30,14.57,
Chile,CHL,9.40,18.40,1.90,29598.58,135787.00,7.00,56.00,2.12,26729.00,88.00,67.00,438.00,17.00,23.40,62.00,1.30,47.00,80.60,60.00,6.20,41.00,2.40,7.70,15.07,
Colombia,COL,12.30,20.35,1.00,29598.58,323959.63,5.18,58.00,1.10,43933.00,80.00,59.00,406.00,14.00,22.60,82.00,1.40,53.00,76.70,80.00,5.70,50.00,23.10,23.70,15.07,
Costa Rica,CRI,2.30,17.00,1.20,16517.00,323959.63,5.18,55.00,1.50,43933.00,82.00,43.00,415.00,17.50,17.50,87.00,1.80,66.00,80.50,73.00,6.30,47.00,10.00,22.00,15.07,
Czech Republic,CZE,0.50,23.40,1.50,26664.00,323959.63,2.30,74.00,0.60,29885.00,96.00,94.00,495.00,18.00,17.00,89.00,1.60,62.00,79.30,62.00,6.90,77.00,0.70,4.50,15.07,
Denmark,DNK,0.50,23.30,1.90,33774.00,149864.00,4.50,74.00,0.90,58430.00,95.00,82.00,501.00,19.00,10.00,93.00,2.00,85.00,81.50,70.00,7.50,85.00,0.50,1.10,15.07,
Estonia,EST,5.70,17.00,1.70,23784.00,188627.00,5.40,74.00,1.20,30720.00,95.00,91.00,526.00,18.00,5.90,86.00,2.70,64.00,78.80,57.00,6.50,79.00,1.90,2.20,14.98,
Finland,FIN,0.40,23.10,1.90,33471.00,230032.00,2.20,72.00,1.20,46230.00,96.00,91.00,516.00,20.00,5.50,97.00,2.20,69.00,82.10,68.00,7.90,88.00,1.20,3.60,15.17,
France,FRA,0.50,20.70,1.80,34375.00,298639.00,3.10,65.00,2.90,45581.00,94.00,81.00,494.00,17.00,11.40,78.00,2.10,75.00,82.90,67.00,6.70,74.00,0.40,7.70,16.20,
Germany,DEU,0.10,20.00,1.80,38971.00,304317.00,1.40,77.00,1.20,53745.00,90.00,86.00,500.00,18.00,12.00,91.00,1.80,76.00,81.40,66.00,7.30,76.00,0.40,3.90,15.62,
Greece,GRC,0.40,21.80,1.20,20791.00,148323.00,21.70,56.00,10.80,27207.00,78.00,76.00,453.00,19.00,14.50,67.00,1.80,58.00,81.70,79.00,5.80,69.00,1.00,4.50,15.03,
